Quarter,Price
2001 Q1,6.87
2001 Q2,7.27
2001 Q3,7.78
2001 Q4,7.16
2002 Q1,6.96
2002 Q2,7.18
2002 Q3,7.55
2002 Q4,7.04
2003 Q1,7.07
2003 Q2,7.5
2003 Q3,7.87
2003 Q4,7.24
2004 Q1,7.26
2004 Q2,7.59
2004 Q3,8.09
2004 Q4,7.46
2005 Q1,7.54
2005 Q2,7.98
2005 Q3,8.66
2005 Q4,8.26
2006 Q1,8.41
2006 Q2,8.88
2006 Q3,9.49
2006 Q4,8.69
2007 Q1,8.75
2007 Q2,9.1
2007 Q3,9.59
2007 Q4,9.01
2008 Q1,8.95
2008 Q2,9.69
2008 Q3,10.51
2008 Q4,9.71
2009 Q1,9.7
2009 Q2,9.84
2009 Q3,10.22
2009 Q4,9.48
2010 Q1,9.4
2010 Q2,9.84
2010 Q3,10.35
2010 Q4,9.62
2011 Q1,9.53
2011 Q2,9.88
2011 Q3,10.42
2011 Q4,9.65
2012 Q1,9.57
2012 Q2,9.77
2012 Q3,10.29
2012 Q4,9.65
2013 Q1,9.72
2013 Q2,10.05
2013 Q3,10.58
2013 Q4,9.91
2014 Q1,10.26
2014 Q2,10.34
